总持股天数：418,	总盈利(元):3.40,	总收益：8.46%,	总年化收益：4.78%

0600054: 
	(持股天数：23,	盈利(元):1.27,	收益：14.43%,	年化收益：148.08%)
	(持股天数：20,	盈利(元):1.30,	收益：14.08%,	年化收益：166.20%)
	(持股天数：36,	盈利(元):0.32,	收益：3.49%,	年化收益：22.88%)
	(持股天数：127,	盈利(元):-0.49,	收益：-5.41%,	年化收益：-10.06%)
	(持股天数：173,	盈利(元):0.96,	收益：11.31%,	年化收益：15.43%)
	(持股天数：7,	盈利(元):0.51,	收益：4.80%,	年化收益：161.90%)
	(持股天数：52,	盈利(元):-0.16,	收益：-1.37%,	年化收益：-6.21%)
总持股天数：438,	总盈利(元):3.71,	总收益：47.03%,	总年化收益：25.34%

0600055: 
	(持股天数：18,	盈利(元):1.96,	收益：15.42%,	年化收益：202.19%)
	(持股天数：105,	盈利(元):-5.33,	收益：-39.93%,	年化收益：-89.74%)
	(持股天数：74,	盈利(元):-0.77,	收益：-6.91%,	年化收益：-22.02%)
	(持股天数：24,	盈利(元):0.79,	收益：8.14%,	年化收益：80.09%)
	(持股天数：110,	盈利(元):-1.25,	收益：-8.16%,	年化收益：-17.52%)
	(持股天数：16,	盈利(元):8.53,	收益：37.64%,	年化收益：555.24%)
	(持股天数：59,	盈利(元):-4.38,	收益：-16.04%,	年化收益：-64.15%)
总持股天数：406,	总盈利(元):-0.45,	总收益：-25.91%,	总年化收益：-15.06%

0600056: 
	(持股天数：21,	盈利(元):1.86,	收益：8.52%,	年化收益：95.71%)
	(持股天数：201,	盈利(元):-6.88,	收益：-33.03%,	年化收益：-38.78%)
	(持股天数：121,	盈利(元):-1.74,	收益：-11.79%,	年化收益：-22.99%)
	(持股天数：64,	盈利(元):-0.20,	收益：-1.39%,	年化收益：-5.11%)
	(持股天数：243,	盈利(元):-2.96,	收益：-20.00%,	年化收益：-19.42%)
总持股天数：650,	总盈利(元):-9.92,	总收益：-49.42%,	总年化收益：-17.94%

0600057: 
	(持股天数：16,	盈利(元):1.01,	收益：13.19%,	年化收益：194.48%)
